reviewText,texto_limpio,sentimiento,target
I got it to have it if I needed it. I have found that i don't really need it that often and rarely use it. If I was really good I can see the need. But this is a keyboard not an organ.,got needed found not really need often rarely use really good see need keyboard not organ,positivo,1
"I love it, I used this for my Yamaha ypt-230 and it works great, I would recommend it to anyone",love used yamaha ypt work great would recommend anyone,positivo,1
I bought this to use in my home studio to control my midi keyboard. It does just what I wanted it to do.,bought use home studio control midi keyboard wanted,positivo,1
"I bought this to use with my keyboard. I wasn't really aware that there were other options for keyboard pedals. It doesn't work as smoothly as the pedals do on an acoustic piano, which is what I'd always used. Doesn't have the same feel either. Nowhere close.In my opinion, a sustain pedal like the M-Audio SP-2 Sustain Pedal with Piano Style Action or other similar pedal is a much better choice. The price difference is only a few dollars and the feel and action are so much better. The only thing I've found the Yamaha FC-5 Sustain Pedal is good for is taking up space in a drawer where I keep my electric guitar pedals.",bought use keyboard not really aware option keyboard pedal not work smoothly pedal acoustic piano always used not feel either nowhere close opinion sustain pedal like audio sp sustain pedal piano style action similar pedal much better choice price difference dollar feel action much better thing found yamaha fc sustain pedal good taking space drawer keep electric guitar pedal,negativo,0
"This Fender cable is the perfect length for me! Sometimes I find it a bit too long but I don't mind. The build quality is great and I know that it will last. The only gripe I have with this cable is that the metal sleeve gets unscrewed way too easily, requiring me to tighten it often.Sound quality is not affected, and the color is cool, definitely try this cable out.",fender cable perfect length sometimes find bit long not mind build quality great know last gripe cable metal sleeve get unscrewed way easily requiring tighten often sound quality not affected color cool definitely try cable,positivo,1
wanted it just on looks alone...It is a nice looking cord... I know it will perform...as for Sam Ash ...this cord was packed in a mailer inside another box with my Roc n Soc... his shipping team do great work..never any complaints from me... I love Sam Ash.. thanks Amazon,wanted look alone nice looking cord know perform sam ash cord packed mailer inside another box roc soc shipping team great work never complaint love sam ash thanks amazon,positivo,1
"I've been using these cables for more than 4 months and they are holding up pretty well.  For years I used seemingly indestructable guitar cables that were made for me by an electrician friend.  When they finally gave out, I got in the habit of using the no-name cables that are always on display near the register at Guitar Center- really more of an impulse buy than something I put any thought into.  After the third or fourth Guitar Center cable failed from light use I decided to try these cables.  Not only are they cheaper but they seem to be holding up better.  I am not terribly hard on my gear but my cables tend to get twisted as I move around and the cheaper ones  eventually fail mid-cable.  I don't mind spending a few extra dollars if the cable is a little more durable.  This cable is actually cheaper- $12 or so shipped- and it's holding up pretty well.  These are actually very reasonably priced for 18' cables.  There is some kind of limited life warantee on this product but I haven't needed it.  Five stars for a nicely made 18 foot guitar cable that costs $12 shipped!Incidentally- these cables are shielded and are meant to connect your instrument to your amp's input.  Do not use these to connect an amplifier to a speaker cab.  You want to use unshielded cables for that purpose.Edit-  More than 6 months has passed and this cable is functioning without any issues.  The price on these things has gone up significantly and although the cable is highly recommended, there are probably better values from Hosa, Monster or Planet Waves-",using cable month holding pretty well year used seemingly indestructable guitar cable made electrician friend finally gave got habit using no name cable always display near register guitar center really impulse buy something put thought third fourth guitar center cable failed light use decided try cable not cheaper seem holding better not terribly hard gear cable tend get twisted move around cheaper one eventually fail mid cable not mind spending extra dollar cable little durable cable actually cheaper shipped holding pretty well actually reasonably priced cable kind limited life warantee product not needed five star nicely made foot guitar cable cost shipped incidentally cable shielded meant connect instrument amp input not use connect amplifier speaker cab want use unshielded cable purpose edit month passed cable functioning without issue price thing gone significantly although cable highly recommended probably better value hosa monster planet wave,positivo,1
Fender cords look great and work just as well. By adding the word California to the description I'm sure to sound like the Beach Boys...,fender cord look great work well adding word california description sure sound like beach boy,positivo,1
"This is a cool looking cheap cable which works well. I bent one of the connectors pretty badly but that was my fault. One thing to consider with the cable is to tighten the connectors once in awhile. You'll be able to hear them rattle. It seems that the 'retro' look is screw on connectors over some black rubber, but other than that, the cable looks cool and works well.I also have the shorter red cable which goes with one of my guitars perfectly. I bought theses to use while practicing with others who use black cables. It's easier to plug into different amps without cutting someone out by accident. The green cable is good for that.",cool looking cheap cable work well bent one connector pretty badly fault one thing consider cable tighten connector awhile able hear rattle seems retro look screw connector black rubber cable look cool work well also shorter red cable go one guitar perfectly bought thesis use practicing others use black cable easier plug different amp without cutting someone accident green cable good,positivo,1
The Fender 18 Feet California Clear Instrument Cable - Lake Placid Blue  is a very good extra cord for a good price.,fender foot california clear instrument cable lake placid blue good extra cord good price,positivo,1
Very good cable. Well made and it looks great with my Candy Apple Red Tele. The reason I gave it only 4 stars is because it tends not to lay flat on the floor.,good cable well made look great candy apple red tele reason gave star tends not lay flat floor,positivo,1
"Got this cable to run a rockband keyboard controller to my M-audio profire 2626 to control midi in Pro Tools. Works great! Firm fit, solidly molded ends, reputable branded cable.(a bit on the thin side, but i haven't seen to have any issue due to this or anything. Couldn't go wrong for $5 at the time of my purchase and prime eligibility.",got cable run rockband keyboard controller audio profire control midi pro tool work great firm fit solidly molded end reputable branded cable bit thin side not seen issue due anything could not go wrong time purchase prime eligibility,positivo,1
"When I was searching for MIDI cables for my ART X-15 foot controller, I came across these Hosa ones, and they were $2 dollars each! As they are now $6, I realize I would still be happy with that price as well, as they are high quality plastic and metal connectors, and work flawlessly. You must realize that they are only 5 feet, as I overestimated it and now wish they were longer. For any connection from racked sound modules, this will be perfect.",searching midi cable art foot controller came across hosa one dollar realize would still happy price well high quality plastic metal connector work flawlessly must realize foot overestimated wish longer connection racked sound module perfect,positivo,1
Cant go wrong. Great quality on a budget price  - Hosa is the go to when you need to hook things up,cant go wrong great quality budget price hosa go need hook thing,positivo,1
"The ends of the midi cable look and feel like quality. Connection is secure, no worries about uneven connections, it also detaches without a hitch. Highly recommended.",end midi cable look feel like quality connection secure no worry uneven connection also detaches without hitch highly recommended,positivo,1
"Just trying to find a midi to midi was a task, and you have to make sure the pin config is correct.  This one is a good product and works just fine",trying find midi midi task make sure pin config correct one good product work fine,positivo,1
The Hosa XLR cables are affordable and very heavily made.I have a large mixer and rack and cables everywhere.I decided to purchase shorter cables and the Hosa cables 5ft measurement worked perfectly.You really will not be disappointed with these.,hosa xlr cable affordable heavily made large mixer rack cable everywhere decided purchase shorter cable hosa cable ft measurement worked perfectly really not disappointed,positivo,1
I bought these to go from my board to the amp. We use them for a mobile church so they take a beating. They are still going strong.,bought go board amp use mobile church take beating still going strong,positivo,1
"Sturdy cord and plugs, inexpensive, good value. I don't require professional-level equipment, so this cord serves my purposes well. Satisfied with purchase.",sturdy cord plug inexpensive good value not require professional level equipment cord serf purpose well satisfied purchase,positivo,1
"Use it every week at gigs.  Solid, no problems with the solder joints.  A good quality cable at a very good price.",use every week gig solid no problem solder joint good quality cable good price,positivo,1
"Hosa products are a good bang for the buck. I haven't looked up the specifications, but I'm guessing the wire is 22 to 24 AWG, but since it's only 10' long, it's good enough.",hosa product good bang buck not looked specification guessing wire awg since long good enough,positivo,1
This was exactly what I was after. I have a voice touch and needed a small cord to connect the mic to the voice touch and this was perfect. Before I used a 20 foot cord to go about 12 inches. I highly recommend this for those who keep the mic on a stand and have a voice touch or other stand connected device for vocals.,exactly voice touch needed small cord connect mic voice touch perfect used foot cord go inch highly recommend keep mic stand voice touch stand connected device vocal,positivo,1
I bought these because I really had too long of mike cords for my solo live show. And these are really nice cords if you have a home portastudio recording studio like myself. Who needs all the spaghetti to trip on all over the place? I bought two because I use a Digitech Live 2 Harmony processor and two XLR mike cords are required to make it operational. Good price here too. Hard to find just 10' mike cords. Usually longer ones are only obtainable.,bought really long mike cord solo live show really nice cord home portastudio recording studio like need spaghetti trip place bought two use digitech live harmony processor two xlr mike cord required make operational good price hard find mike cord usually longer one obtainable,positivo,1
This cable seems like it will last me for a while. As it is only being used to connect a DI box it will not get abused as much as the vocal mics always do.,cable seems like last used connect di box not get abused much vocal mics always,positivo,1
"These are not the greatest but they're cheap and they get to you fast when you need them. I've only had one fail and I've bought many of them to use in our broadcast studio.Amazon is the first place I go when I need cables for audio, video, computers or concert lighting.Good music to all!",not greatest cheap get fast need one fail bought many use broadcast studio amazon first place go need cable audio video computer concert lighting good music,positivo,1
"This is a fine cable at a decent price point, nothing exceptional mind, but it gets the job done well enough.",fine cable decent price point nothing exceptional mind get job done well enough,positivo,1
"I've used a lot of cables and I always come back to HOSA, they are indeed some of the best audio cables in their price range on the market.",used lot cable always come back hosa indeed best audio cable price range market,positivo,1
"I bought this cord after returning a cheap one that I should've known better than to buy. My son, who has some experience as a musician recommended the Hosa brand when I was seeking a proper replacement.I bought it for a small home recording setup which includes a Behringer C-1 Condenser Microphone and a Behringer Xenyx 302 Mixer, and both ends make a reliable connection to both the board and the mic; the sound quality is excellent.An excellent value for the money.",bought cord returning cheap one known better buy son experience musician recommended hosa brand seeking proper replacement bought small home recording setup includes behringer condenser microphone behringer xenyx mixer end make reliable connection board mic sound quality excellent excellent value money,positivo,1
"Nice solid cables, with excellent support at the ends.  Should last a lifetime of usage no problem and just what I needed to connect my tube preamp.",nice solid cable excellent support end last lifetime usage no problem needed connect tube preamp,positivo,1
Good quality cable and sounds very good,good quality cable sound good,positivo,1
"Zero issues with this cable so far.  It feels fairly cheap and light weight but it has survived for months of plugging in, unplugging, and packing between practice spaces.I'll update this review if/when it breaks.",zero issue cable far feel fairly cheap light weight survived month plugging unplugging packing practice space update review break,positivo,1
Realtively inexpensive patch cable for electric guitar.I have had it for a few months and so far it has held up pretty well,realtively inexpensive patch cable electric guitar month far held pretty well,positivo,1
"I bought this because I wanted a cheap replacement cable for one that had a short. I'm pleasantly surprised with this cable. It's decent sound and decent build quality, for a good price.",bought wanted cheap replacement cable one short pleasantly surprised cable decent sound decent build quality good price,positivo,1
"This is a very nice cable for the price. I already bent one end of it though, fortunately it still works fine. Inside the phono connector the wires are covered by white shrink plastic. Haven't noticed any hum or crackles. For sure a good buy.",nice cable price already bent one end though fortunately still work fine inside phono connector wire covered white shrink plastic not noticed hum crackle sure good buy,positivo,1
Cheap and good texture rubber that does not get stiff.  Only time will tell how well the soldering is.  Sounds fine to me.,cheap good texture rubber not get stiff time tell well soldering sound fine,positivo,1
"Seems sturdy enough, and no noise issues, so I'm pretty much satified with it; it doesn't leave the house so I'm not asking it to handle a lot, but with reasonable care it should last a while.",seems sturdy enough no noise issue pretty much satified not leave house not asking handle lot reasonable care last,positivo,1
"I'm not a professional, but have been playing for many, many years.  This is the best cord I've ever had, though I'm sure Eric Clapton has something better.",not professional playing many many year best cord ever though sure eric clapton something better,positivo,1
"This Hosa Cable is very well made, with good quality connectors and a nice long length. My son is expanding his collection of amps and effects pedals so needed additional cables to get everything connected. This 25' cable gives him flexibility to move around and it is sturdy enough that it can take being stepped on and pulled around.The cable works well and is a good value for a decent quality cable.Highly Recommended!CFH",hosa cable well made good quality connector nice long length son expanding collection amp effect pedal needed additional cable get everything connected cable give flexibility move around sturdy enough take stepped pulled around cable work well good value decent quality cable highly recommended cfh,positivo,1
"I didn't expect this cable to be so thin. It's easily 1/2 the thickness of any guitar cable I've used. Not sure about long-term durability or signal loss/interference. If I had the foresight I'd spend a couple extra bucks on a thicker cable.  Still, it works and was inexpensive.EDIT: 6 months later and it's dead already.  Wire frayed at the right angle jack.  You get what you pay for.",not expect cable thin easily thickness guitar cable used not sure long term durability signal loss interference foresight spend couple extra buck thicker cable still work inexpensive edit month later dead already wire frayed right angle jack get pay,negativo,0
"Bought this for my daughter along with her new guitar. It seems to work well, no issues in the first couple of weeks.",bought daughter along new guitar seems work well no issue first couple week,positivo,1
"It hums, crackles, and I think I'm having problems with my equipment.  As soon as I use any of my other cords then the problem is gone.  Hosa makes some other products that have good value.  But based on my experience I don't recommend this one.",hum crackle think problem equipment soon use cord problem gone hosa make product good value based experience not recommend one,negativo,0
"I am not hard on cables.  I typically just plug them in to my guitar, dont move around much, and play for an hour or two a day.  this one seem to perform just fine.  no buzz, and/or other noises noted.  I have several of them and they have all performed well.",not hard cable typically plug guitar dont move around much play hour two day one seem perform fine no buzz noise noted several performed well,positivo,1
"I have found Hosa cables to be an excellent value. More expensive cables may be more rugged, but for the price, I'm very happy with the Hosa's I have purchased.",found hosa cable excellent value expensive cable may rugged price happy hosa purchased,positivo,1
"This is good cable. Excellent 1/4&#34; plugs. The lugs and solder joints are covered with heat shrink material, which will hold everything in place for years. Grade A+ cable at a very affordable price. Definitely  going back for more. The 25 ft. cable was only a couple dollars more than 10 ft.",good cable excellent plug lug solder joint covered heat shrink material hold everything place year grade cable affordable price definitely going back ft cable couple dollar ft,positivo,1
"Pretty crappy cable. It works and gets the job done, but after purchasing this product and using it, I will shell out the extra bucks for better quality.",pretty crappy cable work get job done purchasing product using shell extra buck better quality,positivo,1
I use this cord in my church to run from my pedalboard to my amp (which is in a soundproof box). The cord is reliable and clean sounding. I like it and have used HOSA products in the past with confidence. Excellent cord. Hopefully this review will be usefull to you.,use cord church run pedalboard amp soundproof box cord reliable clean sounding like used hosa product past confidence excellent cord hopefully review usefull,positivo,1
"This my second Hosa guitar cable.  (The other one is shorter.)  Like my first Hosa cable, this is a high quality item.  I'd definitely buy more cables of this brand.",second hosa guitar cable one shorter like first hosa cable high quality item definitely buy cable brand,positivo,1
"These cables have taken a beating the last few months, and have served me well with no problems..Real metal ends, not molded on, with high quality silicone jackets and strain reliefs at the connectors..",cable taken beating last month served well no problem real metal end not molded high quality silicone jacket strain relief connector,positivo,1
In my opinion it does not hurt to have extra guitar cables around. From experience they tend to just die without notice. I have a feeling this one will last a long time. It is built sturdy and sounds really good.I recommend this product.,opinion not hurt extra guitar cable around experience tend die without notice feeling one last long time built sturdy sound really good recommend product,positivo,1
Hosa guitar cables work great. Never had any problems with them. I own several of different lengths and they all sound perfect.,hosa guitar cable work great never problem several different length sound perfect,positivo,1
This product does exactly what it is supposed to do at a decent price.  I have absolutely no complaints.  This is my first experience with the brand and I am not disappointed.,product exactly supposed decent price absolutely no complaint first experience brand not disappointed,positivo,1
"Good quality guitar cord.Very low noise, repairable, effective strain releaf,thick rubber cover!! This is a great buy, under 10 bucks for a quality cord.Of course I just got it..it might not be durable but it looks durable.If I change my mind about anything I will update my review.For now, I would say, buy one!!Joe",good quality guitar cord low noise repairable effective strain releaf thick rubber cover great buy buck quality cord course got might not durable look durable change mind anything update review would say buy one joe,positivo,1
"This is a good solid cable with no problems. When I'm on stage, I like a longer cable but at practice I don't need all the extra length tangleing up on everything...",good solid cable no problem stage like longer cable practice not need extra length tangleing everything,positivo,1
This guitar cable is very nice.  It looks high quality and has the white ends.  Fantastic deal for this cable.,guitar cable nice look high quality white end fantastic deal cable,positivo,1
Good product at a good price. Have used it multiple times and works well with my guitar and speaker. Great to have when friends come over to jam.,good product good price used multiple time work well guitar speaker great friend come jam,positivo,1
This item is well built and I like the terminal ends and how they have the spring built in. These aren't going to be the most durable road cables but for home and light road use they will work well.,item well built like terminal end spring built not going durable road cable home light road use work well,positivo,1
This amp plug is great for the price its 10 ft long the perfect size for jammin at home and it has a quality look to it aesthetically totally worth the price,amp plug great price ft long perfect size jammin home quality look aesthetically totally worth price,positivo,1
"Hosa Cable GTR210 Guitar Instrument Cable - 10ft. is a High quality Instrument Cable, but low cost, won't break the bank. I'm very satisfied with my purchase.",hosa cable gtr guitar instrument cable ft high quality instrument cable low cost wo not break bank satisfied purchase,positivo,1
"This is your basic, black electric guitar cable but it works great.  So far the connections at both ends are solid and the sound from the amp is great!  Nice and rubbery and 10 feet is long enough.  If problems arise later with this cable, I will update this review, but as of now there has been no problems whatsoever with this cable.",basic black electric guitar cable work great far connection end solid sound amp great nice rubbery foot long enough problem arise later cable update review no problem whatsoever cable,positivo,1
"Hosa cable quality can be all over the place, some of their products are good (sound good, reliable, long lasting) and some of their products are not good (affect sound negatively, break prematurely, short useful life span).These guitar cords are actually quite nice, they feel good (gooey soft rubber jacket like Mogami), they sound good and so far they are working reliably, the rubber jacket is about .25&#34; in diameter (by eye) and there is a short heat shrink overwrap to add strength where the wire enters the plug.I bought these when I needed cables fast for an internet concert, we had lots of pedals and signal splits to connect up. These cables arrived in good working condition and we've been using them continuously since.We have over a dozen tube amps and are very particular about sound degradation but so far these cables have not disappointed anyone.I would buy more if I needed them.",hosa cable quality place product good sound good reliable long lasting product not good affect sound negatively break prematurely short useful life span guitar cord actually quite nice feel good gooey soft rubber jacket like mogami sound good far working reliably rubber jacket diameter eye short heat shrink overwrap add strength wire enters plug bought needed cable fast internet concert lot pedal signal split connect cable arrived good working condition using continuously since dozen tube amp particular sound degradation far cable not disappointed anyone would buy needed,positivo,1
"I never really considered a cheaper cable, I was always taught to get the best I could afford. When this showed up in a cable search on amazon, I jumped on it. I figured I had nothing to lose.To my surprise, this is an excellent cable, with good build quality and a strong, thick jacket that inspires confidence. The sound through it is identical to my Monster cables, and it cost one quarter the price....hmmmm, guess I should have tried to figure this out myself instead of listening to &#34;snobs&#34; for so many years. I will never do that again.This is worth the money twice over, try it out for yourself and kiss overpriced cables goodbye!",never really considered cheaper cable always taught get best could afford showed cable search amazon jumped figured nothing lose surprise excellent cable good build quality strong thick jacket inspires confidence sound identical monster cable cost one quarter price hmmmm guess tried figure instead listening snob many year never worth money twice try kiss overpriced cable goodbye,positivo,1
"For the price, fantastic.They do feel light and I don't trust the build quality at the key stress points (where cable meets connector), but then again I am not going to push it.Set your guitar down on it by accident when it's plugged in and...who knows.But for seven bucks it gets the job done. Recommended if you are doing the ""beginner"" thing and testing the waters.Otherwise, spend a few more bucks for something with higher chances of lasting.",price fantastic feel light not trust build quality key stress point cable meet connector not going push set guitar accident plugged know seven buck get job done recommended beginner thing testing water otherwise spend buck something higher chance lasting,positivo,1
"Hosa makes good stuff, this is no exception. I've trusted them for years, I can't think if a single Hosa cable I've owned that's failed.",hosa make good stuff no exception trusted year ca not think single hosa cable owned failed,positivo,1
Only complaint is the size which is my fault. If you can buy at least a 15 foot if you plan to use it on stage.,complaint size fault buy least foot plan use stage,positivo,1
"Hard to day too much, but it works great. No issues to speak of. It does the job perfectly well",hard day much work great no issue speak job perfectly well,positivo,1
"For the price, this works really well. I see no faults. It can unscrew pretty easily, but this is hardly a problem right now.",price work really well see no fault unscrew pretty easily hardly problem right,positivo,1
"This cable disproves the notion that you get what you pay for. It's quality outweighs its price. Let's face it, a cable is a cable is a cable. But the quality of these cables can vary greatly. I replaced a lighter cable with this one and I was surprised at the difference in the quality of the sound from my amp. I have an Ibanez ART series guitar into an Ibanez 15 watt amp set up in my home. With nothing changed but the cable, there was a significant difference in quality and volume. So much so that I checked with my guitar teacher who said he was not surprised. The quality appears good. The ends are heavy duty and the little bit of hum I had due to the proximity of everything was attenuated to the point where it was inconsequential. I've seen more expensive cables and this one is (so far) great.Hosa GTR210 Guitar Cable 10 Ft",cable disproves notion get pay quality outweighs price let face cable cable cable quality cable vary greatly replaced lighter cable one surprised difference quality sound amp ibanez art series guitar ibanez watt amp set home nothing changed cable significant difference quality volume much checked guitar teacher said not surprised quality appears good end heavy duty little bit hum due proximity everything attenuated point inconsequential seen expensive cable one far great hosa gtr guitar cable ft,positivo,1
I was looking for a long cable to perform live with my band and i'm glad with HOSA quality. It feels reliable and without adding noise.,looking long cable perform live band glad hosa quality feel reliable without adding noise,positivo,1
"These are Good cables at a good price!! Not sure they would hold up to heavy use, but for practicing at home they are really great!",good cable good price not sure would hold heavy use practicing home really great,positivo,1
"very sturdy, high quality with little to no feedback, i use it for performing for my friends and they all love it",sturdy high quality little no feedback use performing friend love,positivo,1
"Unless you're going to go for the very top of the line most expensive professional chords, these will do for any medium sized venue.",unless going go top line expensive professional chord medium sized venue,positivo,1
"I have many lengths of these Hosa cables and have neverhad a problem with them.I am not an active musician, so have not put any of them throughthe riggers of what happens on stage; so I cannot comment on thistype of usage.In my over 40 years (10 of them on stage) I have come to realize, thatyou should ALWAYS have extra cables (just like strings) with you, aseven the most expensive cables will sometimes let you down.",many length hosa cable neverhad problem not active musician not put throughthe rigger happens stage cannot comment thistype usage year stage come realize thatyou always extra cable like string aseven expensive cable sometimes let,positivo,1
"I've been using these for about 3 weeks now - they are strong but flexible and don't seem to develop kinks or bending ""habits"" if you roll them up the proper way.I've seen and used some better cables but not at this price point.  And I've certainly seen quite a few worse!  This is a pretty good sweet spot, in my opinion.",using week strong flexible not seem develop kink bending habit roll proper way seen used better cable not price point certainly seen quite worse pretty good sweet spot opinion,positivo,1
"I'm a pro-cheapo and I hated this thing. They're noisy, and the cables feel really cheap, gummy-like. Drop few more bucks and get something else!",pro cheapo hated thing noisy cable feel really cheap gummy like drop buck get something else,negativo,0
Works great on my 100 watt Amp. Almost compares to a monster cable. And with Its length Its plenty of Room from your Guitar to amp. GOOD PRODUCT!,work great watt amp almost compare monster cable length plenty room guitar amp good product,positivo,1
"Good cable, as good as any expensive brand. Thick, a bit stiff and seems to be shielded. No complaints at all.",good cable good expensive brand thick bit stiff seems shielded no complaint,positivo,1
"I own lots of hosa cables they are cheap and quality is there. I've only recieved one bad cable out of around 50 or so. I use a lot of these guys and if they work when you get them, they havn't failed yet.",lot hosa cable cheap quality recieved one bad cable around use lot guy work get hav not failed yet,positivo,1
the cable is great for connecting directly to the computer microphone to record live without a console or mixer...... its great  i recomended,cable great connecting directly computer microphone record live without console mixer great recomended,positivo,1
Bought this to hook up a Beta 58 to a Panasonic G2 DSLR and a Kodak Zi8 for interviews. Works the way it's supposed to. 90 degree TRS is a nice touch. Good price.,bought hook beta panasonic dslr kodak zi interview work way supposed degree trs nice touch good price,positivo,1
"Just received this cord and it seems to work as expected. What can you say about an adapter cord?  It is well made, good construction and sound from my DSLR with my mic is superb.",received cord seems work expected say adapter cord well made good construction sound dslr mic superb,positivo,1
"If you're like me, you probably bought this to hook up an XLR microphone to a digital recorder or a PC.It works fine for the handy type recorders.But forget hooking this directly to a PC.  Way too much noise.",like probably bought hook xlr microphone digital recorder pc work fine handy type recorder forget hooking directly pc way much noise,positivo,1
"I bought this for my Canon Vixia HF G10 Video Camera and a Shotgun Mic that I recently purchased for it. I needed a 12&#34; wire for it to be a perfect fit from my mic (which is mounted on the Mini Advanced Shoe) to the microphone plug on the Video Camera...The wire on this thing is *not* 1 foot long. the actual wire is under 8&#34; long itself. I would have returned this thing but it was cheap enough that it wasn't worth the hassle... I'd have rated it 1 star, but I tried it on my Nikon D3200 (Shoe mounted Shotgun Mike) and it worked out ok. Still a tight fit though (since there's only 8&#34; of wire)...I'd recommend anyone looking for a short cable go with a 2' adapter; worst case scenario, you can zip-tie a loop instead of getting angry that it doesn't fit.Also, not sure if it's the wire (so this didn't affect stars) but I hear a hiss when recording. Again; unsure if it's the way the wires are stretched out to the max on the DSLR or not (or my shotgun mic).",bought canon vixia hf video camera shotgun mic recently purchased needed wire perfect fit mic mounted mini advanced shoe microphone plug video camera wire thing not foot long actual wire long would returned thing cheap enough not worth hassle rated star tried nikon shoe mounted shotgun mike worked ok still tight fit though since wire recommend anyone looking short cable go adapter worst case scenario zip tie loop instead getting angry not fit also not sure wire not affect star hear hiss recording unsure way wire stretched max dslr not shotgun mic,negativo,0
"Well made, XLR 3 pin adaptor to mini.  Needed to get a real XLR mic into the computer and this did the job.",well made xlr pin adaptor mini needed get real xlr mic computer job,positivo,1
"The listing for this item can be confusing if you are not sure what stereo XLR is.  Stereo XLR is meant to be similar to your stereo headphones, where left and right are separate unbalanced wires.  This cable is configured to be a stereo unbalanced XLR to a stereo unbalanced TRS cable.  This item is not a mono balanced XLR to a stereo unbalanced mic cable.A little bit a soldering can fix this connector by moving the red wire from ping #3 to pin #2 with the white wire.  Pin #3 then ties to pin #1 with the ground wire.",listing item confusing not sure stereo xlr stereo xlr meant similar stereo headphone left right separate unbalanced wire cable configured stereo unbalanced xlr stereo unbalanced trs cable item not mono balanced xlr stereo unbalanced mic cable little bit soldering fix connector moving red wire ping pin white wire pin tie pin ground wire,positivo,1
